Generation,Best_Fitness,Average_Fitness
1,8.646872968898142,-24.922297526376102
2,8.646872968898142,-24.922297526376102
3,8.646872968898142,-24.922297526376102
4,8.646872968898142,-24.922297526376102
5,8.646872968898142,-24.922297526376102
6,8.646872968898142,-24.922297526376102
7,8.646872968898142,-24.922297526376102
8,8.646872968898142,-24.922297526376102
9,8.646872968898142,-24.922297526376102
10,8.646872968898142,-24.922297526376102
11,8.646872968898142,-24.922297526376102
12,8.646872968898142,-24.922297526376102
13,8.646872968898142,-24.922297526376102
14,8.646872968898142,-24.922297526376102
15,8.646872968898142,-24.922297526376102
16,8.646872968898142,-24.922297526376102
17,8.646872968898142,-24.922297526376102
18,8.646872968898142,-24.922297526376102
19,8.646872968898142,-24.922297526376102
20,8.646872968898142,-24.922297526376102
21,8.646872968898142,-24.922297526376102
22,8.646872968898142,-24.922297526376102
23,8.646872968898142,-24.922297526376102
24,8.646872968898142,-24.922297526376102
25,8.646872968898142,-24.922297526376102
26,8.646872968898142,-24.922297526376102
27,8.646872968898142,-24.922297526376102
28,8.646872968898142,-24.922297526376102
29,8.646872968898142,-24.922297526376102
30,8.646872968898142,-24.922297526376102
31,8.646872968898142,-24.922297526376102
32,8.646872968898142,-24.922297526376102
33,8.646872968898142,-24.922297526376102
34,8.646872968898142,-24.922297526376102
35,8.646872968898142,-24.922297526376102
36,8.646872968898142,-24.922297526376102
37,8.646872968898142,-24.922297526376102
38,8.646872968898142,-24.922297526376102
39,8.646872968898142,-24.922297526376102
40,8.646872968898142,-24.922297526376102
41,8.646872968898142,-24.922297526376102
42,8.646872968898142,-24.922297526376102
43,8.646872968898142,-24.922297526376102
44,8.646872968898142,-24.922297526376102
45,8.646872968898142,-24.922297526376102
46,8.646872968898142,-24.922297526376102
47,8.646872968898142,-24.922297526376102
48,8.646872968898142,-24.922297526376102
49,8.646872968898142,-24.922297526376102
50,8.646872968898142,-24.922297526376102
51,8.646872968898142,-24.922297526376102
52,8.646872968898142,-24.922297526376102
53,8.646872968898142,-24.922297526376102
54,8.646872968898142,-24.922297526376102
55,8.646872968898142,-24.922297526376102
56,8.646872968898142,-24.922297526376102
57,8.646872968898142,-24.922297526376102
58,8.646872968898142,-24.922297526376102
59,8.646872968898142,-24.922297526376102
60,8.646872968898142,-24.922297526376102
61,8.646872968898142,-24.922297526376102
62,8.646872968898142,-24.922297526376102
63,8.646872968898142,-24.922297526376102
64,8.646872968898142,-24.922297526376102
65,8.646872968898142,-24.922297526376102
66,8.646872968898142,-24.922297526376102
67,8.646872968898142,-24.922297526376102
68,8.646872968898142,-24.922297526376102
69,8.646872968898142,-24.922297526376102
70,8.646872968898142,-24.922297526376102
71,8.646872968898142,-24.922297526376102
72,8.646872968898142,-24.922297526376102
73,8.646872968898142,-24.922297526376102
74,8.646872968898142,-24.922297526376102
75,8.646872968898142,-24.922297526376102
76,8.646872968898142,-24.922297526376102
77,8.646872968898142,-24.922297526376102
78,8.646872968898142,-24.922297526376102
79,8.646872968898142,-24.922297526376102
80,8.646872968898142,-24.922297526376102
81,8.646872968898142,-24.922297526376102
82,8.646872968898142,-24.922297526376102
83,8.646872968898142,-24.922297526376102
84,8.646872968898142,-24.922297526376102
85,8.646872968898142,-24.922297526376102
86,8.646872968898142,-24.922297526376102
87,8.646872968898142,-24.922297526376102
88,8.646872968898142,-24.922297526376102
89,8.646872968898142,-24.922297526376102
90,8.646872968898142,-24.922297526376102
91,8.646872968898142,-24.922297526376102
92,8.646872968898142,-24.922297526376102
93,8.646872968898142,-24.922297526376102
94,8.646872968898142,-24.922297526376102
95,8.646872968898142,-24.922297526376102
96,8.646872968898142,-24.922297526376102
97,8.646872968898142,-24.922297526376102
98,8.646872968898142,-24.922297526376102
99,8.646872968898142,-24.922297526376102
100,8.646872968898142,-24.922297526376102
