Generation,Best_Fitness,Average_Fitness
1,8.92207003959221,-7.560707348955507
2,9.30074022169871,1.1301225884189714
3,13.252888748677556,7.076980817954049
4,13.252888748677556,8.897106679390038
5,24.042175929383426,9.549120148941796
6,28.853346024564203,10.691269078759946
7,28.853346024564203,11.529801648914844
8,28.853346024564203,13.091565837207726
9,120.9710579068524,17.780275762304953
10,121.71164201461127,22.15220784455763
11,124.79923417202117,28.168021377575286
12,129.73224802098878,35.45122276454454
13,129.73224802098878,42.52554925372936
14,137.37969131858029,51.00454952275329
15,137.37969131858029,65.70477274297873
16,137.37969131858029,91.58494908490793
17,137.37969131858029,124.21453578900135
18,137.60284313934994,126.99599347686741
19,137.60284313934994,129.26984147837368
20,137.60284313934994,130.85053244770648
21,137.60284313934994,132.52917990653575
22,350.6707355272803,137.7730057596318
23,359.8417044965002,143.0523557167188
24,359.8417044965002,148.10868114149352
25,359.8417044965002,157.4074654854671
26,391.09627323517043,168.1705893580112
27,391.09627323517043,190.38371304633475
28,391.09627323517043,229.81292640744897
29,391.09627323517043,282.6050606077086
30,393.65757994331227,352.7183504985796
31,393.65757994331227,363.431632167215
32,393.65757994331227,367.7014774580052
33,393.65757994331227,371.4866725351952
34,393.65757994331227,373.1364243767003
35,393.65757994331227,375.9744500211533
36,393.65757994331227,377.11754096019234
37,394.249315225241,379.4952558439095
38,394.3061036397721,380.77030307617156
39,396.9960627786958,381.86596695782083
40,413.39364270254373,382.7412907291171
