Generation,Best_Fitness,Average_Fitness
1,8.693708047683302,-7.539451431350134
2,8.693708047683302,1.0845596736715641
3,47.08829203870853,8.510329927629465
4,47.08829203870853,11.070017925211484
5,47.08829203870853,13.088196041170711
6,47.08829203870853,14.533396083546842
7,47.08829203870853,16.34827572605841
8,47.08829203870853,19.83614364264148
9,47.08829203870853,23.506534841839553
10,94.89479078531501,30.505748914985034
11,98.45424786180922,40.20621720679886
12,99.73320964534793,49.34375413005056
13,126.79338808103515,54.99117558681038
14,129.70449305276182,63.57091750322199
15,132.55174997169735,74.05439479201094
16,210.28328449169123,91.81577821635612
17,212.0834240858384,112.15180021831584
18,212.1019297936567,123.03174622028571
19,216.7020895683419,140.93335470923256
20,216.7020895683419,153.65746222064246
21,217.60433359134788,170.8442816876981
22,299.9189901122683,204.64338973572504
23,299.9189901122683,214.13596827004235
24,299.9189901122683,218.334366793777
25,299.9189901122683,219.9539303050324
26,299.9189901122683,222.45455301634544
27,409.38507374087357,229.42910593914195
28,409.38507374087357,238.8875566093168
29,409.38507374087357,252.23106672797533
30,409.38507374087357,272.14776687683525
31,409.75931515272805,291.6688829407448
32,418.60672593410425,304.44032817463614
33,418.60672593410425,315.854253634032
34,418.60672593410425,341.6175261102493
35,468.68079613517887,377.6721351797325
36,474.38060153643914,413.7194519316966
37,499.89,423.53045907901884
38,499.89,428.860884784259
39,499.89,438.7612711184299
40,499.89,456.244171698264
